,collection,morph,experiment,model,LAS,UAS,LA
0,est_ud,gm,2,malt,0.8491234135144548,0.8771635049224582,0.9096163965012799
1,est_ud,gm,3,malt,0.8516856845813814,0.878856434020249,0.9120007320774477
2,est_ud,gm,4,malt,0.8502723683976401,0.8786607049804144,0.9108365255807688
3,est_ud,gm,5,malt,0.852819387851073,0.8796088469526006,0.9132996611599868
4,est_ud,gm,6,malt,0.8005749858287091,0.8584294396811396,0.8588259816319734
5,est_ud,gm,8,malt,0.8517899039402543,0.8792021372594375,0.9119524353013846
6,est_ud,gm,8,malt,0.8514111555384963,0.8787344211123002,0.911530473994728
7,est_ud,gm,9,malt,0.7875119788714314,0.8515941749004197,0.8478422779809914
8,est_ud,gm,14,malt,0.8511112071397887,0.8789733630570334,0.911464383669589
9,est_ud,gm,3,malt,0.8511290006888645,0.8786607049804144,0.9116296094824365
10,est_ud,gm,4,malt,0.8496902651493006,0.878165027541872,0.9105009900839093
11,est_ud,gm,6,malt,0.8002140309760271,0.8584421493590509,0.8584065622608992
12,est_ud,gm,7,malt,0.8306765869939324,0.8658340980322876,0.8922295571185636
13,est_ud,gm,7,malt,0.8309231547454125,0.8661187948175018,0.8922931055081202
14,est_ud,gm,1,malt,0.8508748071306377,0.8786276598178449,0.9112737385009189
15,est_ud,am,4,malt,0.8395123550778976,0.872219440214946,0.9015965897392229
16,est_ud,am,4,udpipe,0.8415103164455606,0.8737852725336235,0.9088868609891688
17,est_ud,am,5,malt,0.8421635938902037,0.8734548209079286,0.9033352736774944
18,est_ud,am,5,udpipe,0.8408062002892722,0.8731497886380564,0.9089987061547886
19,est_ud,am,6,malt,0.7993497728780558,0.8577151557825221,0.8580328977303057
20,est_ud,am,2,udpipe,0.8413959293443586,0.8736175047851937,0.9087877255014604
21,est_ud,am,10,malt,0.6325708373898389,0.7159081954545108,0.7399218609002011
22,est_ud,am,10,udpipe,0.6863581943106398,0.7738795783437256,0.7857555013840839
23,est_ud,am,11,malt,0.8424432068042532,0.8741640209353815,0.9033657769044817
24,est_ud,am,11,udpipe,0.841428974506928,0.8734802402637513,0.9087953513082071
25,est_ud,am,12,malt,0.8376465743605126,0.8707552853195595,0.8997257251506733
26,est_ud,am,12,udpipe,0.8406028454426908,0.8733023047729924,0.9082386674156904
27,est_ud,am,13,malt,0.8406282647985135,0.8727151176534884,0.9024557639660296
28,est_ud,am,13,udpipe,0.8416882519363195,0.8736658015612568,0.9093113642314077
29,est_ud,am,14,malt,0.8404376196298433,0.872379582156629,0.9022600349261949
30,est_ud,am,14,udpipe,0.8398123034766053,0.8719576208499724,0.9080022674065393
31,est_ud,am,2,malt,0.8376567421028416,0.870513801439244,0.9000256735493809
32,est_ud,am,3,malt,0.8403562776912108,0.8722626531198446,0.9021176865335878
33,est_ud,am,3,malt,0.8407579035132091,0.8725727692608813,0.9023744220273969
34,est_ud,am,3,udpipe,0.8412535809517515,0.8734471951011817,0.9089326158296497
35,est_ud,am,4,malt,0.8385362518143066,0.8714034788930379,0.9009992348773898
36,est_ud,am,6,udpipe,0.7947031146336689,0.8529947814062496,0.8634929753610184
37,est_ud,am,6,udpipe,0.7934524823271929,0.8521966136334173,0.8620949107907707
38,est_ud,am,7,malt,0.8276948965559314,0.8644029882994705,0.8897155828277
39,est_ud,am,7,udpipe,0.8236049222040615,0.8611493107541669,0.8930150152134845
40,est_ud,am,7,malt,0.8271051675008452,0.8638768076339409,0.8894461376559796
41,est_ud,am,7,udpipe,0.8234600318758722,0.8608722397756996,0.8929565506950923
42,est_ud,am,8,malt,0.8410171809426006,0.8726236079725268,0.902791299462889
43,est_ud,am,8,udpipe,0.8406562260899184,0.8733048467085747,0.9076641899740977
44,est_ud,am,8,malt,0.8414467680560039,0.8731523305736386,0.9026260736500415
45,est_ud,am,8,udpipe,0.841589116448611,0.8738411951164333,0.9083606803236393
46,est_ud,am,9,malt,0.7867951530372317,0.8514696200568885,0.8470568198860704
47,est_ud,am,9,udpipe,0.6844034458478753,0.7718612814914044,0.7849573336112516
48,est_ud,am,3,udpipe,0.8413705099885359,0.8735997112361179,0.9090317513173581
49,est_ud,am,4,udpipe,0.8400029486452755,0.8716703821291761,0.9087445125965617
50,est_ud,am,6,malt,0.7983812954212114,0.856586536383995,0.8573669106077514
51,est_ud,am,1,malt,0.8422601874423299,0.8738589886655093,0.9035792994933922
52,est_ud,am,1,udpipe,0.8425423422919617,0.8749825241928719,0.9095070932712424
